Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Junior Dot Net Developer,ARPUPLUS,"Agouza, Giza, Egypt",2 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development· .Net· JavaScript· Computer Science· HTML,
Detailing Sales Representative,MAG Pharma,"Cairo, Egypt",2 hours ago,Full Time,Experienced · 1 - 3 Yrs of Exp · Medical/Healthcare · Sales/Retail· Sales Rep· Outdoor Sales· Healthcare Sales· Medical Sales,
Scrap Sales Officer,Fine Hygienic Holding,"6th of October, Giza, Egypt",2 hours ago,Full Time,Experienced · 1 - 4 Yrs of Exp · Sales/Retail· Sales· sales skills· Sales Target· Selling· scrap· Materials Control· Material Eequirements Planning,
Mechatronics Trainer - GB Foundation,Ghabbour Auto,"6th of October, Giza, Egypt",2 hours ago,Full Time,Experienced · 2+ Yrs of Exp · Engineering - Mechanical/Electrical · Training/Instructor· Engineering· Training· Automotive· PVTD· Mechatronics· Office,
Electricity Trainer - GB Foundation,Ghabbour Auto,"6th of October, Giza, Egypt",2 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Training/Instructor· Training· PVTD· Electrical Engineering· Office· MS Office· Engineering,
Product Manager,Confidential,"Giza, Egypt",2 hours ago,Full Time,Manager · 7 - 10 Yrs of Exp · Marketing/PR/Advertising· Sales· Sales Manager· Sales Target· Sales Skills· Sales Management· Sales Field· Sales Planning· CRM· Promotion,
Sales Engineer,AL MOTAHEDA,"New Cairo, Cairo, Egypt",2 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical· Sales· Sales Skills· Engineering· Sales Target· Communication Skills· Communication· Low Voltage· Electrical,
Software Product Manager,Confidential,"Maadi, Cairo, Egypt",2 hours ago,Full Time,Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Business Development · IT/Software Development· Analytical Skills· Leadership Management· Product Management· Business Analysis· Agile· Analysis· Computer Science,
Customer Service Representative,ECRAL,"Cairo, Egypt",2 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · females_only · Customer Service/Support · Sales/Retail· Customer Service· Sales· sales skills· Sales Target· Customer Support· Customer Care· Rental· English,
Senior Software Tester,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Certified Software Tester· Test Design· SQL· Reporting· Software· Testing,
Senior QC Software Engineer,Chefaa IT,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Automation Testing· Agile· Quality Control· Testing· quality· Communication skills· Software Testing,
Electrical technical office manager,Amer vision,"Sheraton, Cairo, Egypt",3 hours ago,Full Time,Manager · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical· AutoCAD· Electrical· Electrical Engineering· Microsoft Office· Power· Revit· Technical Office· technical,
Senior System Analyst,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Experienced · 5 - 10 Yrs of Exp · IT/Software Development· Analysis· Computer Science· Engineering· Information Systems· Design· System Analysis· Technical Writing· Documentation· Problem Solving,
Senior Motion Graphics Designer,United Media Services,"Heliopolis, Cairo, Egypt",3 hours ago,Full Time,Experienced · 5+ Yrs of Exp · Creative/Design/Art· Adobe illustrator· Adobe Photoshop· Graphic Design· Motion· Motion Graphics· graphics,
Senior Bank Accountant,Multi M Group,"khanka, Qalubia, Egypt",3 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance· Accounting· Bank· Bank Accounting· Banking· Finance,
Application Support Engineer,Caelum Egypt,"Dokki, Giza, Egypt",3 hours ago,Full Time,Entry Level · 2+ Yrs of Exp · IT/Software Development· computer· Computer Engineering· Computer Science· Information Technology (IT)· Customer Support· CRM· Software· .Net· Software Development,
